Month Finished,Title,Author,Author Gender,Genre,Year Published,Pages,Medium,Source,Book Club,Favorite
January,Noor,Nnedi Okorafor ,Female,Science Fiction,2021,224,Book,Gift,Literati,Yes
January,Passing,Nella Larsen,Female,Fiction,1929,128,Audiobook,Library,Brunch Babes Reads,
January,Dear Data,Giorgia Lupi and Stefanie Posavec,Female,Data,2016,289,Book,Gift,,Yes
January,See No Stranger,Valarie Kaur,Female,Memoir,2020,389,Book,Purchased,,Yes
January,The Mothers,Britt Bennett,Female,Fiction,2016,288,Book,Library,,Yes
January,The Cold Dish,Craig Johnson,Male,Mystery,2004,254,Book,Library,,
January,We Run the Tides,Vendela Vida,Female,Fiction,2021,272,Book,Library,,
January,Daring Greatly,Brené Brown,Female,Nonfiction,2012,287,Audiobook,Library,,Yes
January,This Is How You Lose the Time War,Amal El-Mohtar and Max Gladstone,"Female, Male",Science Fiction,2019,224,Book,Purchased,,Yes
February,Small Favors,Erin A. Craig,Female,Fantasy,2021,480,Book,Library,Brunch Babes Reads,
February,A Line to Kill,Anthony Horowitz,Male,Mystery,2021,375,Book,Library,,
February,The Wangs vs. The World,Jade Chang,Female,Fiction,2016,355,Audiobook,Library,,
February,To Paradise,Hanya Yanagihara,Female,Fiction,2022,404,Book,Gift,Literati,Did not finish (total pages 704)
February,Death Without Company,Craig Johnson,Male,Mystery,2006,271,Audiobook,Library,,
February,Game On: Tempting Twenty-Eight,Janet Evanovich,Female,Mystery,2021,320,Audiobook,Library,,
March,The Guest List,Lucy Foley,Female,Mystery,2020,330,Audiobook,Library,,
March,When Life Gives You Lululemons,Lauren Weisberger,Female,Fiction,2018,343,Audiobook,Library,,
March,Information Dashboard Design,Stephen Few,Male,Data,2006,211,Book,Borrowed,,
March,Sabrina & Corina,Kali Fajardo-Anstine ,Female,Short Stories,2019,224,Book,Purchased,,Yes
March,A Cruise to Murder,Dawn Brookes,Female,Mystery,2018,239,Audiobook,Borrowed,,
March,Where'd You Go Bernadette,Maria Semple,Female,Fiction,2012,330,Book,Purchased,,
March,Five Tuesdays in Winter,Lily King,Female,Short Stories,2021,240,Book,Purchased,,Yes
April,Wolfpack,Abby Wambach,Female,Nonfiction,2019,112,Audiobook,Library,,Yes
April,"Sing, Unburied, Sing",Jesmyn Ward,Female,Fiction,2017,285,Book,Purchased,,
April,The Breakdown,B.A. Paris,Female,Mystery,2017,328,Audiobook,Library,,
April,Love from A to Z,S.K. Ali,Female,Romance,2019,384,Audiobook,Library,,Yes
April,Ancestor Trouble,Maud Newton,Female,Nonfiction,2022,278,Book,Gift,Literati,
